,uid,rank,rg_l=1/10*m_t=20,rg_l=1/10*m_t=40,rg_l=1/10*m_t=60,rg_l=1/10*m_t=80,r_75,r_agg_75
0,yt:sAjm3-IaRtI,1,0.04,0.03,0.03,0.04,0.02,0.0
1,yt:IVqXKP91L4E,2,0.02,0.01,0.04,0.01,0.02,0.0
2,yt:E9c2y0eUBMs,3,0.01,0.02,0.01,0.04,0.02,0.0
3,yt:lqfNjyuMKeY,4,0.02,0.01,0.03,0.05,0.0,0.02
4,yt:afGzhzfzRAE,5,0.0,0.0,0.02,0.02,0.0,0.0
5,yt:XhRbt3R41hs,6,0.04,0.15,0.3,0.51,0.05,0.0
6,yt:lYXQvHhfKuM,7,0.0,0.0,0.01,0.02,0.0,0.0
7,yt:Y71mvOIpkWE,8,0.01,0.02,0.04,0.02,0.01,0.02
8,yt:utWMGi8HTjY,9,0.01,0.04,0.05,0.11,0.0,0.02
9,yt:or5WdufFrmI,10,0.0,0.02,0.0,0.01,0.01,0.0
10,yt:WHUJL-EjsGY,11,0.01,0.03,0.03,0.09,0.0,0.02
11,yt:ZdEVVDk48L4,12,0.03,0.04,0.04,0.07,0.01,0.02
12,yt:qwFSHelaMV4,13,0.0,0.0,0.0,0.01,0.01,0.04
13,yt:GVJRZqI6h2k,14,0.02,0.04,0.07,0.05,0.02,0.01
14,yt:hdAEGAwlK0M,15,0.03,0.04,0.05,0.11,0.02,0.02
15,yt:iW0LiIMYqrU,16,0.01,0.01,0.01,0.01,0.02,0.01
16,yt:Wxp__MZgwAI,17,0.04,0.01,0.0,0.04,0.0,0.02
17,yt:CHoXZO7WFDA,18,0.03,0.05,0.12,0.12,0.01,0.0
18,yt:sGLiSLAlwrY,19,0.02,0.0,0.01,0.06,0.0,0.01
19,yt:F7YlkbhYq3s,20,0.01,0.02,0.01,0.05,0.01,0.01
20,yt:WPPPFqsECz0,21,0.22,0.91,0.98,0.98,0.04,0.0
21,yt:F1Hq8eVOMHs,22,0.07,0.11,0.22,0.22,0.01,0.01
22,yt:Sm_FgccC9dk,23,0.02,0.02,0.02,0.02,0.0,0.01
23,yt:dGJzpQwA090,24,0.01,0.01,0.04,0.01,0.01,0.0
24,yt:Aj7PKDTrbjQ,25,0.0,0.01,0.04,0.0,0.03,0.01
25,yt:GuTgfnkILGs,26,0.0,0.01,0.03,0.02,0.02,0.0
26,yt:EhAemz1v7dQ,27,0.02,0.01,0.05,0.07,0.02,0.01
27,yt:lUWj0Mhr8bs,28,0.0,0.01,0.03,0.01,0.02,0.0
28,yt:YC-v3whLUX0,29,0.0,0.0,0.0,0.02,0.03,0.0
29,yt:R2fjRbc9Sa0,30,0.03,0.01,0.03,0.0,0.03,0.0
30,yt:LdjYWkv4F-U,31,0.01,0.0,0.03,0.04,0.01,0.01
31,yt:urhVbud_vMc,32,0.0,0.04,0.04,0.03,0.02,0.02
32,yt:lfzeKb5wDsU,33,0.02,0.06,0.04,0.07,0.02,0.02
33,yt:url1TFdHlSI,34,0.09,0.09,0.21,0.17,0.02,0.01
34,yt:deyO6sEvgNw,35,0.01,0.0,0.02,0.03,0.03,0.01
35,yt:Y4yeTTOTfO8,36,0.0,0.01,0.05,0.0,0.01,0.01
36,yt:XT5JqQlyz_s,37,0.01,0.02,0.02,0.04,0.0,0.0
37,yt:QprkRP-Dylo,38,0.01,0.01,0.0,0.02,0.03,0.0
38,yt:dDhTMIao-fM,39,0.0,0.01,0.03,0.01,0.0,0.0
39,yt:vYb3rB0jU70,40,0.01,0.02,0.01,0.04,0.01,0.01
40,yt:NTUIOgLHEFU,41,0.0,0.01,0.07,0.02,0.01,0.01
41,yt:8BXyHtO2mzc,42,0.0,0.01,0.01,0.0,0.04,0.06
42,yt:zmCl5i_sEiM,43,0.01,0.04,0.05,0.03,0.01,0.01
43,yt:ecqtrDTfDm4,44,0.02,0.04,0.04,0.09,0.0,0.02
44,yt:dc2zLRc3gZk,45,0.01,0.02,0.0,0.05,0.02,0.0
45,yt:1awxwKia7og,46,0.0,0.0,0.0,0.01,0.01,0.01
46,yt:vnIIVeCBJuw,47,0.0,0.01,0.01,0.02,0.01,0.01
47,yt:cxKp-3t0-2Y,48,0.0,0.0,0.02,0.02,0.01,0.03
48,yt:VlWvnhSiuck,49,0.04,0.0,0.01,0.02,0.0,0.01
49,yt:V6x9bXTU0vY,50,0.01,0.03,0.03,0.02,0.03,0.02
50,yt:5eW6Eagr9XA,51,0.03,0.03,0.04,0.13,0.0,0.02
51,yt:wcfY44oh70Q,52,0.01,0.03,0.01,0.04,0.01,0.02
52,yt:79G5FwAhBDA,53,0.01,0.0,0.0,0.02,0.01,0.01
53,yt:2XPtzAQxMPw,54,0.04,0.03,0.07,0.04,0.01,0.04
54,yt:AP2QmM-9FuA,55,0.05,0.03,0.0,0.03,0.01,0.0
55,yt:wtJwVZGuiOY,56,0.01,0.0,0.06,0.04,0.01,0.03
56,yt:6haF08QQe2E,57,0.01,0.0,0.02,0.01,0.02,0.0
57,yt:8nzRXxPnlPQ,58,0.01,0.02,0.03,0.02,0.02,0.0
58,yt:6-hQiPcHhFc,59,0.01,0.03,0.04,0.04,0.0,0.02
59,yt:HkqYjyyKeCo,60,0.0,0.0,0.01,0.0,0.02,0.03
60,yt:063Ayh_6EJg,61,0.0,0.02,0.0,0.01,0.02,0.01
61,yt:l5jtFqWq5iU,62,0.01,0.02,0.02,0.01,0.01,0.0
62,yt:nEQiRsFjnPw,63,0.02,0.01,0.04,0.05,0.01,0.02
63,yt:J-0zvNL6O3k,64,0.01,0.0,0.0,0.01,0.01,0.0
64,yt:_-gsCVB99u8,65,0.02,0.0,0.01,0.02,0.02,0.02
65,yt:8ysjQYvgyCc,66,0.02,0.0,0.01,0.02,0.0,0.0
66,yt:t0yPqAkoaGY,67,0.01,0.0,0.0,0.0,0.01,0.0
67,yt:7i1Bq6pr120,68,0.01,0.0,0.0,0.0,0.01,0.02
68,yt:SdPuR4Vdl38,69,0.07,0.01,0.05,0.05,0.01,0.03
69,yt:R4XgsA4t2zI,70,0.02,0.04,0.02,0.04,0.04,0.01
70,yt:1PGm8LslEb4,71,0.0,0.02,0.02,0.06,0.0,0.0
71,yt:BJxwouM5a6o,72,0.0,0.0,0.0,0.01,0.0,0.02
72,yt:ztHZj6QNlkM,73,0.01,0.01,0.0,0.01,0.0,0.01
73,yt:iiKuUElvGhM,74,0.0,0.02,0.01,0.0,0.02,0.02
74,yt:3UoCBkp-CAg,75,0.03,0.02,0.04,0.03,0.0,0.02
75,yt:Sqa8Zo2XWc4,76,0.02,0.0,0.02,0.01,0.0,0.02
76,yt:zPTTxsdtI3A,77,0.01,0.01,0.0,0.0,0.02,0.01
77,yt:sDPk-r18sb0,78,0.02,0.01,0.03,0.03,0.01,0.0
78,yt:oweVFXFFh04,79,0.0,0.01,0.0,0.03,0.01,0.02
79,yt:7KPVSBHgTm0,80,0.01,0.0,0.0,0.0,0.01,0.01
80,yt:x-2uVNze56s,81,0.01,0.03,0.0,0.05,0.01,0.02
81,yt:LxgMdjyw8uw,82,0.0,0.01,0.0,0.04,0.01,0.03
82,yt:YMxtImOzyGw,83,0.03,0.03,0.02,0.02,0.04,0.01
83,yt:3q-7Tam2cuc,84,0.0,0.0,0.04,0.01,0.02,0.03
84,yt:PN8-fBE50Yg,85,0.0,0.01,0.0,0.02,0.01,0.0
85,yt:npNXJJzbpJI,86,0.0,0.0,0.01,0.01,0.02,0.01
86,yt:n3Xv_g3g-mA,87,0.02,0.04,0.07,0.1,0.03,0.02
87,yt:ghIQzrHzwTk,88,0.01,0.01,0.01,0.0,0.01,0.01
88,yt:QPKKQnijnsM,89,0.02,0.01,0.0,0.04,0.02,0.02
89,yt:4wR9hWduhuQ,90,0.01,0.0,0.0,0.0,0.01,0.02
90,yt:jN7mSXMruEo,91,0.0,0.0,0.0,0.0,0.01,0.01
91,yt:IXxRtYhALRk,92,0.01,0.02,0.01,0.0,0.01,0.01
92,yt:cebFWOlx848,93,0.01,0.07,0.08,0.05,0.02,0.0
93,yt:ZLI7OXoMQ9c,94,0.0,0.0,0.01,0.02,0.01,0.01
94,yt:jXf04bhcjbg,95,0.03,0.01,0.01,0.02,0.02,0.01
95,yt:IV3dnLzthDA,96,0.02,0.01,0.03,0.06,0.01,0.03
96,yt:vs_Zzf_vL2I,97,0.0,0.02,0.0,0.01,0.0,0.01
97,yt:6nuBccQB4sk,98,0.02,0.02,0.03,0.03,0.0,0.01
98,yt:P3to46JLDu8,99,0.01,0.0,0.0,0.0,0.02,0.0
99,yt:ZoGH7d51bvc,100,0.02,0.01,0.01,0.05,0.03,0.0
100,yt:FzgxF0PT094,101,0.0,0.0,0.01,0.0,0.01,0.0
101,yt:XAgXwUwQoPA,102,0.01,0.0,0.0,0.01,0.04,0.03
102,yt:O6FfWBcXQnY,103,0.0,0.0,0.0,0.01,0.0,0.01
103,yt:8WiiqssAME4,104,0.0,0.0,0.01,0.06,0.01,0.01
104,yt:5KdH3tLbOfY,105,0.01,0.0,0.0,0.01,0.01,0.04
105,yt:8b3lhDyVqgk,106,0.01,0.0,0.0,0.0,0.02,0.01
106,yt:10g0J31RuK4,107,0.01,0.0,0.02,0.0,0.01,0.02
107,yt:YTpwlQ1R1fU,108,0.0,0.0,0.03,0.0,0.0,0.01
108,yt:_jGbRsxHi7Q,109,0.01,0.02,0.01,0.02,0.0,0.0
109,yt:JefwhxJWmik,110,0.01,0.0,0.02,0.03,0.0,0.01
110,yt:rE3j_RHkqJc,111,0.0,0.01,0.0,0.02,0.0,0.0
111,yt:8BIcAZxFfrc,112,0.0,0.0,0.0,0.01,0.01,0.02
112,yt:6gjMfVcKA_o,113,0.0,0.01,0.0,0.0,0.01,0.01
113,yt:5N44LOHTw8M,114,0.03,0.0,0.02,0.02,0.0,0.01
114,yt:bNRwTz6lH04,115,0.0,0.02,0.01,0.0,0.01,0.0
115,yt:oOzYpKi99z4,116,0.0,0.03,0.03,0.0,0.01,0.02
116,yt:LRpNlVZ-YOs,117,0.0,0.01,0.01,0.0,0.02,0.02
117,yt:kl39KHS07Xc,118,0.01,0.01,0.0,0.02,0.0,0.0
118,yt:WP6T4MH0Dn4,119,0.0,0.01,0.0,0.0,0.01,0.02
119,yt:hqxC5mGG9bo,120,0.01,0.01,0.0,0.01,0.02,0.02
120,yt:hy_9RZRAXbA,121,0.0,0.0,0.01,0.0,0.04,0.0
121,yt:KCSsKV5F4xc,122,0.0,0.0,0.01,0.0,0.01,0.01
122,yt:hNMRSUFuHPg,123,0.02,0.02,0.0,0.0,0.0,0.0
123,yt:Fjb72jZ3SpA,124,0.0,0.0,0.01,0.01,0.03,0.01
124,yt:XbrcUz0pu80,125,0.0,0.01,0.01,0.01,0.0,0.02
125,yt:rSSNlM3Au1A,126,0.0,0.01,0.01,0.0,0.04,0.01
126,yt:RilwnjDwTOc,127,0.0,0.0,0.0,0.0,0.01,0.0
127,yt:ZnbDyyp-e1k,128,0.01,0.0,0.0,0.0,0.02,0.01
128,yt:pnVEnLm9aWA,129,0.01,0.0,0.0,0.03,0.01,0.0
129,yt:oH10ZxWJdZI,130,0.01,0.02,0.0,0.01,0.02,0.0
130,yt:PRtwo1j0y2I,131,0.01,0.02,0.01,0.01,0.03,0.0
131,yt:-SBNs8KuQlc,132,0.0,0.01,0.0,0.01,0.02,0.01
132,yt:khqRfhKXNmE,133,0.0,0.0,0.01,0.0,0.03,0.01
133,yt:JcFRbecX6bk,134,0.01,0.0,0.0,0.01,0.04,0.03
134,yt:07Gm32CoQpI,135,0.0,0.02,0.02,0.0,0.0,0.01
135,yt:o5RZwqgDYnQ,136,0.01,0.0,0.0,0.0,0.01,0.01
136,yt:yex0pkkMkGQ,137,0.0,0.0,0.02,0.01,0.03,0.01
137,yt:ezdtQIrO8oI,138,0.0,0.01,0.02,0.0,0.0,0.0
138,yt:qArYSatvv0c,139,0.01,0.0,0.02,0.01,0.01,0.01
139,yt:6Pm0Mn0-jYU,140,0.01,0.02,0.02,0.05,0.03,0.0
140,yt:h6JLGyoCMvQ,141,0.02,0.0,0.02,0.01,0.0,0.01
141,yt:FOi05zDO4yw,142,0.0,0.03,0.01,0.0,0.0,0.01
142,yt:WkA4Gf44wLo,143,0.02,0.01,0.02,0.02,0.01,0.05
