test,algorithm,uids,objective_value,largely_recommended,reliability,importance,engaging,pedagogy,layman_friendly,entertaining_relaxing,better_habits,diversity_inclusion,backfire_risk
1,g_sample_q=0.5_n=150,"['yt:utWMGi8HTjY', 'yt:hdAEGAwlK0M', 'yt:F7YlkbhYq3s', 'yt:YC-v3whLUX0', 'yt:XT5JqQlyz_s', 'yt:HkqYjyyKeCo', 'yt:5KdH3tLbOfY', 'yt:YTpwlQ1R1fU', 'yt:bNRwTz6lH04', 'yt:80RfjcExcaI']",430.8930441101115,0.946634366013994,0.5369693216053464,0.9490558337601043,0.800884221879225,0.6237261530061805,0.23973742457894692,-0.5918951254161628,0.9492108150230236,0.9225801748042343,0.6004809234205681
1,g_sample_q=0.5_n=190,"['yt:GVJRZqI6h2k', 'yt:CHoXZO7WFDA', 'yt:F1Hq8eVOMHs', 'yt:SdPuR4Vdl38', 'yt:kl39KHS07Xc', 'yt:-SBNs8KuQlc', 'yt:RilwnjDwTOc', 'yt:6Pm0Mn0-jYU', 'yt:o5RZwqgDYnQ', 'yt:n-NJ-B_IIFw']",389.0776186499971,0.8912209415401622,0.6273450310850608,0.8508109757624631,0.7368825025331025,0.88801467719455,0.5994545838908989,0.44213457666596695,1.0,0.6465416544197717,0.6329682352740229
1,g_sample_q=0.5_n=230,"['yt:lqfNjyuMKeY', 'yt:Y71mvOIpkWE', 'yt:iW0LiIMYqrU', 'yt:F1Hq8eVOMHs', 'yt:GuTgfnkILGs', 'yt:HkqYjyyKeCo', 'yt:SdPuR4Vdl38', 'yt:7i1Bq6pr120', 'yt:3UoCBkp-CAg', 'yt:Npfpjl8lbAU']",450.2971954441663,0.9596885308041674,0.6112812914285364,0.9853380003600454,1.0,0.8873216333156579,0.5994545838908989,0.44213457666596695,1.0,0.8154279020794774,0.4221301631049238
1,g_sample_q=0.5_n=280,"['yt:IVqXKP91L4E', 'yt:lqfNjyuMKeY', 'yt:lYXQvHhfKuM', 'yt:Aj7PKDTrbjQ', 'yt:LdjYWkv4F-U', 'yt:ecqtrDTfDm4', 'yt:8nzRXxPnlPQ', 'yt:063Ayh_6EJg', 'yt:nEQiRsFjnPw', 'yt:_FgR0l_fQYs']",461.43737368338407,0.9931992521111431,0.7689103773009615,0.8759410618974717,0.8609406835459293,0.5964126248423188,0.611603637703567,0.10943464791109796,0.8835643916797992,0.7915628265217807,0.3052100996212076
1,g_sample_q=0.5_n=320,"['yt:sAjm3-IaRtI', 'yt:IVqXKP91L4E', 'yt:WHUJL-EjsGY', 'yt:iW0LiIMYqrU', 'yt:WPPPFqsECz0', 'yt:dGJzpQwA090', 'yt:R2fjRbc9Sa0', 'yt:urhVbud_vMc', 'yt:LdjYWkv4F-U', 'yt:I3CsL15U-sM']",494.98855976440774,1.0,0.7091856813614742,1.0,0.895563850854232,0.8958477378802461,0.8309265456052275,0.2547939408360363,0.9486921259247459,0.8068389482171069,0.8551678820836595
1,r_75,"['yt:ppSrAHoGwrI', 'yt:BItgaqseB6Y', 'yt:14Y1hUxGLek', 'yt:3hCffvguLTQ', 'yt:S1zFnV2pFPU', 'yt:GVJRZqI6h2k', 'yt:lfIaGTvErok', 'yt:8ysjQYvgyCc', 'yt:JpRtcjVLNro', 'yt:7KPVSBHgTm0']",161.91664242962366,0.8912209415401622,0.6273450310850608,0.7092766700655913,0.6478854614328585,0.88801467719455,0.6618567164148216,0.7636271717807205,0.7319861857459797,0.6548519286949039,0.6777220467941405
2,g_sample_q=0.5_n=150,"['yt:IVqXKP91L4E', 'yt:lqfNjyuMKeY', 'yt:iW0LiIMYqrU', 'yt:CHoXZO7WFDA', 'yt:F1Hq8eVOMHs', 'yt:LdjYWkv4F-U', 'yt:lfzeKb5wDsU', 'yt:vnIIVeCBJuw', 'yt:1awxwKia7og', 'yt:ik_v98sCtsI']",474.82218289084307,0.9931992521111431,0.6647769219560106,0.8759410618974717,0.81396075712119,0.8873216333156579,0.5994545838908989,0.44213457666596695,1.0,0.7144340318017797,0.5598790954591023
2,g_sample_q=0.5_n=190,"['yt:Wxp__MZgwAI', 'yt:dGJzpQwA090', 'yt:EhAemz1v7dQ', 'yt:cxKp-3t0-2Y', 'yt:V6x9bXTU0vY', 'yt:PN8-fBE50Yg', 'yt:ZLI7OXoMQ9c', 'yt:5KdH3tLbOfY', 'yt:rE3j_RHkqJc', 'yt:I3CsL15U-sM']",406.7560377861588,0.871851932932144,0.6065572132004609,0.9337678069367165,0.7372077784917597,0.8381732329589694,0.4303395320025935,0.29203582721338983,0.8399448719199147,0.8068389482171069,0.5976455847957527
2,g_sample_q=0.5_n=230,"['yt:Y71mvOIpkWE', 'yt:or5WdufFrmI', 'yt:hdAEGAwlK0M', 'yt:Sm_FgccC9dk', 'yt:deyO6sEvgNw', 'yt:XT5JqQlyz_s', 'yt:vYb3rB0jU70', 'yt:dc2zLRc3gZk', 'yt:vnIIVeCBJuw', 'yt:I3CsL15U-sM']",463.5979562439949,0.9506783116909648,0.7447885162255244,0.9853380003600454,0.8098443957063072,0.5998632957843555,0.5144783963617304,0.4850848682030633,0.8798145464618662,0.9225801748042343,0.6004809234205681
2,g_sample_q=0.5_n=280,"['yt:ZdEVVDk48L4', 'yt:YC-v3whLUX0', 'yt:url1TFdHlSI', 'yt:zmCl5i_sEiM', 'yt:cxKp-3t0-2Y', 'yt:V6x9bXTU0vY', 'yt:6-hQiPcHhFc', 'yt:J-0zvNL6O3k', 'yt:8ysjQYvgyCc', 'yt:O96sj2IotuY']",420.57306952309136,0.9026867071749556,0.710735204097933,0.7843710217290681,0.7200417475787138,1.0,0.39040978044791486,0.05260523423175942,0.8399448719199147,1.0,0.657991028122685
