test,algorithm,temperature,relative_upper_bound,uids,objective_value,largely_recommended,reliability,importance,engaging,pedagogy,layman_friendly,entertaining_relaxing,better_habits,diversity_inclusion,backfire_risk
1,random_greedy T=0.01 c=10,0.01,10.0,"['yt:WHUJL-EjsGY', 'yt:utWMGi8HTjY', 'yt:ZdEVVDk48L4', 'yt:CHoXZO7WFDA', 'yt:Y4yeTTOTfO8', 'yt:iW0LiIMYqrU', 'yt:3KSfrzd0aqY', 'yt:R2fjRbc9Sa0', 'yt:Aj7PKDTrbjQ', 'yt:urhVbud_vMc', 'yt:rtsw8rA5x7c', 'yt:XT5JqQlyz_s']",-2.2961439012526057,0.9493590528765321,1.0,0.966064884160922,0.9184526459736271,0.93955772495748,0.8591445394165738,0.9656482365436836,0.9272933214983456,1.0,0.897010004172586
1,random_greedy T=0.01 c=130,0.01,130.0,"['yt:urhVbud_vMc', 'yt:QprkRP-Dylo', 'yt:iW0LiIMYqrU', 'yt:zmCl5i_sEiM', 'yt:lqfNjyuMKeY', 'yt:Aj7PKDTrbjQ', 'yt:n3Xv_g3g-mA', 'yt:lYXQvHhfKuM', 'yt:CHoXZO7WFDA', 'yt:WHUJL-EjsGY', 'yt:xaZ8RvCQMHU', 'yt:EhAemz1v7dQ']",0.6232730560831783,0.9523237783740803,0.9588998513062305,0.9396324258962399,0.9184526459736271,0.93955772495748,0.8746359864071797,0.8890564462892955,0.8568584488207536,0.7695659396894505,0.9102073334879941
1,random_greedy T=0.01 c=250,0.01,250.0,"['yt:Aj7PKDTrbjQ', 'yt:lqfNjyuMKeY', 'yt:VlWvnhSiuck', 'yt:R2fjRbc9Sa0', 'yt:rtsw8rA5x7c', 'yt:utWMGi8HTjY', 'yt:urhVbud_vMc', 'yt:iW0LiIMYqrU', 'yt:EhAemz1v7dQ', 'yt:ZdEVVDk48L4', 'yt:CHoXZO7WFDA', 'yt:n3Xv_g3g-mA']",1.748524952372975,0.9493590528765321,1.0,0.966064884160922,0.8997815743804468,0.93955772495748,0.8746359864071797,0.8890564462892955,0.8671039540911528,0.8854398922401071,0.9102073334879941
1,random_greedy T=0.01 c=370,0.01,370.0,"['yt:3KSfrzd0aqY', 'yt:ZdEVVDk48L4', 'yt:VlWvnhSiuck', 'yt:rtsw8rA5x7c', 'yt:zmCl5i_sEiM', 'yt:sAjm3-IaRtI', 'yt:Y4yeTTOTfO8', 'yt:utWMGi8HTjY', 'yt:GuTgfnkILGs', 'yt:QprkRP-Dylo', 'yt:lYXQvHhfKuM', 'yt:n3Xv_g3g-mA']",1.9868990640171091,1.0,1.0,1.0,1.0,0.921962607024294,0.8746359864071797,0.9656482365436836,0.9272933214983456,0.8854398922401071,0.9102073334879941
1,random_greedy T=0.01 c=500,0.01,500.0,"['yt:xaZ8RvCQMHU', 'yt:lYXQvHhfKuM', 'yt:zmCl5i_sEiM', 'yt:GuTgfnkILGs', 'yt:rtsw8rA5x7c', 'yt:urhVbud_vMc', 'yt:n3Xv_g3g-mA', 'yt:iW0LiIMYqrU', 'yt:Y4yeTTOTfO8', 'yt:VlWvnhSiuck', 'yt:sAjm3-IaRtI', 'yt:Aj7PKDTrbjQ']",6.559215848159283,1.0,0.9419871042123155,1.0,1.0,0.93955772495748,0.8746359864071797,0.9656482365436836,0.9272933214983456,0.8854398922401071,0.9102073334879941
1,r_75,,,"['yt:lqfNjyuMKeY', 'yt:XhRbt3R41hs', 'yt:sAjm3-IaRtI', 'yt:utWMGi8HTjY', 'yt:Wxp__MZgwAI', 'yt:Wxp__MZgwAI', 'yt:WHUJL-EjsGY', 'yt:iW0LiIMYqrU', 'yt:lqfNjyuMKeY', 'yt:Wxp__MZgwAI', 'yt:utWMGi8HTjY', 'yt:lYXQvHhfKuM']",17.29353084544091,1.0,1.0,1.0,0.9184526459736271,0.9375127491253377,0.8415464175840156,0.7588599880086525,0.8639069253750279,0.7695659396894505,0.9067103295745715
1,random_greedy T=0.1 c=10,0.1,10.0,"['yt:n3Xv_g3g-mA', 'yt:E9c2y0eUBMs', 'yt:CHoXZO7WFDA', 'yt:cxKp-3t0-2Y', 'yt:GuTgfnkILGs', 'yt:sAjm3-IaRtI', 'yt:F1Hq8eVOMHs', 'yt:LxgMdjyw8uw', 'yt:EhAemz1v7dQ', 'yt:Aj7PKDTrbjQ', 'yt:lYXQvHhfKuM', 'yt:urhVbud_vMc']",8.018070976586841,1.0,0.9419871042123155,1.0,1.0,0.9802339771977691,0.8826749962624164,0.90688265036666,0.9590069810785995,0.7678283652904374,0.9102073334879941
1,random_greedy T=0.1 c=130,0.1,130.0,"['yt:ZdEVVDk48L4', 'yt:sGLiSLAlwrY', 'yt:lYXQvHhfKuM', 'yt:sAjm3-IaRtI', 'yt:_-gsCVB99u8', 'yt:zmCl5i_sEiM', 'yt:CHoXZO7WFDA', 'yt:QprkRP-Dylo', 'yt:rtsw8rA5x7c', 'yt:Wxp__MZgwAI', 'yt:EhAemz1v7dQ', 'yt:WHUJL-EjsGY']",8.011402964681338,1.0,0.9697860116139042,1.0,0.9184526459736271,0.9375127491253377,0.8660209270078294,0.8890564462892955,0.8345410134340261,0.7695659396894505,0.9067103295745715
1,random_greedy T=0.1 c=250,0.1,250.0,"['yt:lYXQvHhfKuM', 'yt:xaZ8RvCQMHU', 'yt:GuTgfnkILGs', 'yt:_-gsCVB99u8', 'yt:n3Xv_g3g-mA', 'yt:urhVbud_vMc', 'yt:utWMGi8HTjY', 'yt:sAjm3-IaRtI', 'yt:XhRbt3R41hs', 'yt:ZdEVVDk48L4', 'yt:QprkRP-Dylo', 'yt:EhAemz1v7dQ']",0.7015486199812244,1.0,1.0,1.0,1.0,0.922413096952341,0.8746359864071797,0.8890564462892955,0.8639069253750279,0.7678283652904374,0.9102073334879941
1,random_greedy T=0.1 c=370,0.1,370.0,"['yt:n3Xv_g3g-mA', 'yt:CHoXZO7WFDA', 'yt:E9c2y0eUBMs', 'yt:VlWvnhSiuck', 'yt:GuTgfnkILGs', 'yt:sAjm3-IaRtI', 'yt:sGLiSLAlwrY', 'yt:zmCl5i_sEiM', 'yt:iW0LiIMYqrU', 'yt:F1Hq8eVOMHs', 'yt:WHUJL-EjsGY', 'yt:Wxp__MZgwAI']",7.992093706201331,1.0,0.9697860116139042,1.0,1.0,0.9802339771977691,0.8746359864071797,0.8956195413236842,0.9590069810785995,0.8854398922401071,0.9102073334879941
