test,algorithm,alpha,uids,objective_value,largely_recommended,reliability,importance,engaging,pedagogy,layman_friendly,entertaining_relaxing,better_habits,diversity_inclusion,backfire_risk
1,rg_l=1/10*m_t=0.01,0.5,"['yt:lfzeKb5wDsU', 'yt:F1Hq8eVOMHs', 'yt:5eW6Eagr9XA', 'yt:url1TFdHlSI', 'yt:cebFWOlx848', 'yt:75d_29QWELk', 'yt:XhRbt3R41hs', 'yt:n3Xv_g3g-mA', 'yt:WPPPFqsECz0', 'yt:LimoOg7WFrw']",1506.8710255406359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,rg_l=1/10*m_t=0.1,0.5,"['yt:n3Xv_g3g-mA', 'yt:lfzeKb5wDsU', 'yt:cebFWOlx848', 'yt:5eW6Eagr9XA', 'yt:XhRbt3R41hs', 'yt:WPPPFqsECz0', 'yt:LimoOg7WFrw', 'yt:url1TFdHlSI', 'yt:F1Hq8eVOMHs', 'yt:75d_29QWELk']",1506.8710255406354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,rg_l=1/10*m_t=1,0.5,"['yt:75d_29QWELk', 'yt:WPPPFqsECz0', 'yt:lfzeKb5wDsU', 'yt:url1TFdHlSI', 'yt:F1Hq8eVOMHs', 'yt:cebFWOlx848', 'yt:LimoOg7WFrw', 'yt:5eW6Eagr9XA', 'yt:XhRbt3R41hs', 'yt:n3Xv_g3g-mA']",1506.8710255406359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,rg_l=1/10*m_t=10,0.5,"['yt:WPPPFqsECz0', 'yt:5eW6Eagr9XA', 'yt:lfzeKb5wDsU', 'yt:F1Hq8eVOMHs', 'yt:url1TFdHlSI', 'yt:cebFWOlx848', 'yt:XhRbt3R41hs', 'yt:n3Xv_g3g-mA', 'yt:75d_29QWELk', 'yt:LimoOg7WFrw']",1506.8710255406359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,rg_l=1/10*m_t=100,0.5,"['yt:WPPPFqsECz0', 'yt:XhRbt3R41hs', 'yt:F1Hq8eVOMHs', 'yt:lfzeKb5wDsU', 'yt:5eW6Eagr9XA', 'yt:url1TFdHlSI', 'yt:n3Xv_g3g-mA', 'yt:cebFWOlx848', 'yt:LimoOg7WFrw', 'yt:75d_29QWELk']",1506.8710255406359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,r_75,0.5,"['yt:WPPPFqsECz0', 'yt:F1Hq8eVOMHs', 'yt:XhRbt3R41hs', 'yt:F1Hq8eVOMHs', 'yt:XhRbt3R41hs', 'yt:F1Hq8eVOMHs', 'yt:WPPPFqsECz0', 'yt:XhRbt3R41hs', 'yt:XhRbt3R41hs', 'yt:WPPPFqsECz0']",41.4525217062136,1.0,1.0,1.0,0.9397960636095108,0.8958477378802461,0.8949352794281452,0.5208608015909261,1.0,0.46268925727107124,1.0
1,r_agg_75,0.5,"['yt:XhRbt3R41hs', 'yt:WPPPFqsECz0', 'yt:F1Hq8eVOMHs', 'yt:XhRbt3R41hs', 'yt:F1Hq8eVOMHs', 'yt:XhRbt3R41hs', 'yt:WPPPFqsECz0', 'yt:WPPPFqsECz0', 'yt:XhRbt3R41hs', 'yt:F1Hq8eVOMHs']",41.4525217062136,1.0,1.0,1.0,0.9397960636095108,0.8958477378802461,0.8949352794281452,0.5208608015909261,1.0,0.46268925727107124,1.0
2,rg_l=1/10*m_t=0.01,0.5,"['yt:lfzeKb5wDsU', 'yt:F1Hq8eVOMHs', 'yt:url1TFdHlSI', 'yt:WPPPFqsECz0', 'yt:cebFWOlx848', 'yt:XhRbt3R41hs', 'yt:75d_29QWELk', 'yt:LimoOg7WFrw', 'yt:n3Xv_g3g-mA', 'yt:5eW6Eagr9XA']",1506.8710255406359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,rg_l=1/10*m_t=0.1,0.5,"['yt:75d_29QWELk', 'yt:url1TFdHlSI', 'yt:XhRbt3R41hs', 'yt:n3Xv_g3g-mA', 'yt:WPPPFqsECz0', 'yt:LimoOg7WFrw', 'yt:lfzeKb5wDsU', 'yt:F1Hq8eVOMHs', 'yt:cebFWOlx848', 'yt:5eW6Eagr9XA']",1506.8710255406354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,rg_l=1/10*m_t=1,0.5,"['yt:XhRbt3R41hs', 'yt:5eW6Eagr9XA', 'yt:cebFWOlx848', 'yt:lfzeKb5wDsU', 'yt:75d_29QWELk', 'yt:WPPPFqsECz0', 'yt:F1Hq8eVOMHs', 'yt:url1TFdHlSI', 'yt:LimoOg7WFrw', 'yt:n3Xv_g3g-mA']",1506.8710255406354,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
