test,algorithm,uids,objective_value,largely_recommended,reliability,importance,engaging,pedagogy,layman_friendly,entertaining_relaxing,better_habits,diversity_inclusion,backfire_risk
1,random_greedy_0.01,"['yt:03NtiW-NXcI', 'yt:MQWZ4mdl9kI', 'yt:FW0S2uLpmgQ', 'yt:rZQf-9rV9XM', 'yt:hfUsGmcr1PI', 'yt:jtKIQfDyTuA', 'yt:rZCKv0C6Dqs', 'yt:ajst4ZNjrhM', 'yt:DtVx11DJhZA', 'yt:DY_X8szLrbU']",277.74068278909783,0.38715122370274196,0.3372857491573156,0.4363358975250405,0.43436537016200955,0.5092346179122116,0.7335628298483238,-0.040748410563019116,0.6781753085838376,0.052885858311237134,0.24673371465762692
1,random_greedy_0.1,"['yt:SVAAEIDyMhI', 'yt:0JJ5oF6ASkg', 'yt:zvsfKAbW4CQ', 'yt:fbbM33WvcXs', 'yt:Gfulzow1LGU', 'yt:6Pm0Mn0-jYU', 'yt:o1Xnvb7QKo4', 'yt:SgvtVaR0RKE', 'yt:GT4LhyKFN5U', 'yt:Mkz15U6qVTo']",282.33168414285433,0.6301741535678327,0.24817706801160744,0.5154971637065762,0.5000072647360562,0.24542043373732314,0.5040181648132839,0.3197736383568723,0.36867579928562527,0.6465416544197717,0.6329682352740229
1,random_greedy_1,"['yt:MCjAbMoY8gw', 'yt:7kYXEBHePJc', 'yt:f8890v41G5o', 'yt:gDUFeXG2020', 'yt:ZoSlPBuZtO4', 'yt:bQld7iJJSyk', 'yt:xPm7zOFSJgk', 'yt:ikXV805eWnU', 'yt:rahDyCCPkcs', 'yt:E5AdTJc9bCk']",275.95593599800054,0.4723591220235038,0.4202279127809233,0.4915503649333814,0.229064354727872,0.6055931721964046,0.4552764080161158,0.21848868616196265,0.2907184496501554,0.14987215640228604,0.5764379571794183
1,random_greedy_10,"['yt:Ffd55-hAaGE', 'yt:i9ipP6rtLoU', 'yt:-jFVjCK_I64', 'yt:K9UE2WD6nu8', 'yt:_gXlauRB1EQ', 'yt:aLcfWq7t6Cw', 'yt:BSRdTGJAovs', 'yt:NSxqx5ravDo', 'yt:R3m6D0gvS_o', 'yt:Rn287zBDzG8']",170.51144333099512,0.23178162876364017,0.25192653767702256,0.3948484743900605,0.35193621372459255,0.2779113956895429,0.41310913545320843,0.5277235055993723,0.4915732585764126,0.2528464183926939,0.3082224344627364
1,random_greedy_100,"['yt:I_l4ybGg0Yo', 'yt:-t2BWAc050k', 'yt:cv5sm_el14g', 'yt:AqlkPJH_on4', 'yt:4zraD3SeRHg', 'yt:5lUL5XwmMZk', 'yt:6RWAAeWO-Y4', 'yt:kySDKESt3_M', 'yt:ZE9DsvX-kRY', 'yt:3vrmfECD1D4']",130.956931478545,0.013864638805361871,0.02208962797772722,0.03882425195452246,0.03712115136974747,0.017860753477084514,0.02126702601386401,,0.010369618802797007,0.012649691692688408,-0.022367409514603972
1,random_threshold_20,"['yt:cXvlEGXNJLw', 'yt:3TYT1QfdfsM', 'yt:vTOKIxqOWfM', 'yt:oNAw2YNWGJE', 'yt:ZKhqVny4xSA', 'yt:hUQNiy4K7VU', 'yt:JbrK6LtTvOc', 'yt:NTUIOgLHEFU', 'yt:1t6hoJNXugM', 'yt:jyXKF_VBMgw']",134.0661658348145,0.7802961463068403,0.2854388167027073,0.7816906651658624,0.4569360612663939,0.5184099473559516,0.5554324093553197,0.1459802885707104,0.5523604293069759,0.3616682328143329,0.12807564110934017
2,random_greedy_0.01,"['yt:2YjVkNfgD34', 'yt:3LopI4YeC4I', 'yt:Cchw9P5hEl4', 'yt:NtQyW9gji2k', 'yt:ujLpe4aizwI', 'yt:PLrCNKnXDDs', 'yt:qM3g-E4o24k', 'yt:QCjfghyvKVc', 'yt:rXlEcth5Gxc', 'yt:DS2SQWBDEm0']",278.791630622815,0.4735405074817799,0.6730272665644232,0.28163328262513104,0.4781419808256992,0.4805195831992334,0.2604372623343083,0.2762675072305781,0.3204776428741033,0.3453423724159087,0.4069010265702485
2,random_greedy_0.1,"['yt:B_rStLPDn3c', 'yt:xWd8Jp6D90M', 'yt:ocgzPNjqDOo', 'yt:r1UTHOK_jYI', 'yt:EhAemz1v7dQ', 'yt:UurISH0YgEs', 'yt:xwQgR7B96mk', 'yt:hSPsaNmFumk', 'yt:WfaLSdUcWyI', 'yt:cbbltHmLPZI']",298.3725027387596,0.8295430043675969,0.5012488023487942,0.9337678069367165,0.7372077784917597,0.8381732329589694,0.4303395320025935,0.1644167241677369,0.3719675034839737,0.26865736150475483,0.3174161433563982
2,random_greedy_1,"['yt:yqX_Tx9v3SI', 'yt:dAKJAPjM6Mg', 'yt:y2l8lxi-9aY', 'yt:8g2jRPVncP4', 'yt:j4U2CvqBlg8', 'yt:lNNWB6pT7Nk', 'yt:zkqgxWcj0ek', 'yt:GIrYjLHMArA', 'yt:p37NsAeNivI', 'yt:dYCmzYWOqXA']",227.18375450650612,0.4259045678012756,0.05279481207027555,0.10314930666749969,0.3364762224551487,0.2850864188204607,0.1885707616576425,0.27042479533452574,0.31458390661889113,0.21365295822753727,0.23224712872406025
2,random_greedy_10,"['yt:LK_wkcm-d_A', 'yt:MXnCK0piuWc', 'yt:v_ONFix_e4k', 'yt:A9kl3_vnXjI', 'yt:Ot6J8yCJdGo', 'yt:ftyO41TYOI0', 'yt:Ug0rIG6ZctY', 'yt:gE2-VTfevH8', 'yt:e5ScehcjNTs', 'yt:RzuyL3LEROQ']",166.7970864380402,0.13873617841034605,0.19048353403641477,0.13741044221196494,0.3189165372065292,0.22831491279409355,0.4786044074263346,0.6236689433156859,0.1136322907356484,0.28037277667233546,0.49584592816861256
